survey,iso_code3,country,year,group,category,adjustment,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2
DHS,BGD,Bangladesh,2007,poorest by sex,poorest male,0,35.7627,14.38486,0.8660032
DHS,BGD,Bangladesh,2007,sex,female,0,72.12761,44.85515,6.784758
DHS,BGD,Bangladesh,2007,sex,male,0,61.96793,37.66086,10.01169
DHS,BGD,Bangladesh,2007,total,total,0,67.32885,41.75809,8.172187
DHS,BGD,Bangladesh,2007,wealth,quintile 1,0,43.74941,18.03288,0.3673453
DHS,BGD,Bangladesh,2007,wealth,quintile 2,0,58.94697,25.89982,2.416878
DHS,BGD,Bangladesh,2007,wealth,quintile 3,0,72.60062,39.05862,5.116055
DHS,BGD,Bangladesh,2007,wealth,quintile 4,0,77.39964,52.02588,6.945987
DHS,BGD,Bangladesh,2007,wealth,quintile 5,0,81.24554,65.06821,21.70837
DHS,BGD,Bangladesh,2011,location,rural,1,73.47073,48.00884,10.08113
DHS,BGD,Bangladesh,2011,location,urban,1,79.10136,58.13782,22.32582
DHS,BGD,Bangladesh,2011,poorest by sex,poorest female,1,52.20633,15.57119,0
DHS,BGD,Bangladesh,2011,poorest by sex,poorest male,1,42.50802,17.28668,0.7085391
DHS,BGD,Bangladesh,2011,sex,female,1,79.43929,51.59568,10.68283
DHS,BGD,Bangladesh,2011,sex,male,1,69.62301,49.17394,17.94198
DHS,BGD,Bangladesh,2011,total,total,1,74.78203,50.63494,13.44728
DHS,BGD,Bangladesh,2011,wealth,quintile 1,1,47.34285,16.26639,0.2403778
DHS,BGD,Bangladesh,2011,wealth,quintile 2,1,68.81937,36.42527,3.490233
DHS,BGD,Bangladesh,2011,wealth,quintile 3,1,80.88433,49.54382,10.86853
DHS,BGD,Bangladesh,2011,wealth,quintile 4,1,86.55852,65.24709,16.21519
DHS,BGD,Bangladesh,2011,wealth,quintile 5,1,87.67805,73.71278,30.39222
MICS,BGD,Bangladesh,2013,location,rural,1,77.16572,54.32512,16.26811
MICS,BGD,Bangladesh,2013,location,urban,1,78.905,60.91413,26.14178
MICS,BGD,Bangladesh,2013,poorest by sex,poorest female,1,63.66075,23.95826,1.177873
MICS,BGD,Bangladesh,2013,poorest by sex,poorest male,1,48.34313,21.96063,5.296467
MICS,BGD,Bangladesh,2013,sex,female,1,84.24861,59.74496,14.42038
MICS,BGD,Bangladesh,2013,sex,male,1,71.66978,51.56287,23.48016
MICS,BGD,Bangladesh,2013,total,total,1,77.51532,55.70905,18.60215
MICS,BGD,Bangladesh,2013,wealth,quintile 1,1,55.03955,22.95015,2.897351
MICS,BGD,Bangladesh,2013,wealth,quintile 2,1,72.75813,44.82822,7.366724
MICS,BGD,Bangladesh,2013,wealth,quintile 3,1,81.84614,55.84905,14.56227
MICS,BGD,Bangladesh,2013,wealth,quintile 4,1,85.17831,63.83979,20.5067
MICS,BGD,Bangladesh,2013,wealth,quintile 5,1,91.39697,80.45043,37.25534
DHS,BGD,Bangladesh,2014,location,rural,1,79.73283,53.85737,15.78518
DHS,BGD,Bangladesh,2014,location,urban,1,80.8069,57.59106,25.99403
DHS,BGD,Bangladesh,2014,poorest by sex,poorest female,1,67.59536,27.19528,3.396331
DHS,BGD,Bangladesh,2014,poorest by sex,poorest male,1,57.09346,30.38906,4.249395
DHS,BGD,Bangladesh,2014,sex,female,1,84.44126,55.49642,17.47369
DHS,BGD,Bangladesh,2014,sex,male,1,75.05403,54.14125,21.24764
DHS,BGD,Bangladesh,2014,total,total,1,80.01213,54.93395,18.89613
DHS,BGD,Bangladesh,2014,wealth,quintile 1,1,62.41156,28.54419,3.72722
DHS,BGD,Bangladesh,2014,wealth,quintile 2,1,77.20143,44.47308,7.353638
DHS,BGD,Bangladesh,2014,wealth,quintile 3,1,84.56422,58.13559,13.56732
DHS,BGD,Bangladesh,2014,wealth,quintile 4,1,87.11147,64.30357,23.92425
DHS,BGD,Bangladesh,2014,wealth,quintile 5,1,89.33107,71.82017,37.44765
MICS,BRB,Barbados,2012,location,rural,1,98.53733,98.90357,96.19507
MICS,BRB,Barbados,2012,location,urban,1,98.99376,97.92288,92.37891
MICS,BRB,Barbados,2012,poorest by sex,poorest female,1,100,95.24316,92.66603
MICS,BRB,Barbados,2012,poorest by sex,poorest male,1,94.24986,95.47766,86.37725
MICS,BRB,Barbados,2012,sex,female,1,99.47329,98.01125,97.8229
MICS,BRB,Barbados,2012,sex,male,1,98.2254,98.46922,89.64212
MICS,BRB,Barbados,2012,total,total,1,98.84174,98.24961,93.63563
MICS,BRB,Barbados,2012,wealth,quintile 1,1,97.03199,95.382,88.30842
MICS,BRB,Barbados,2012,wealth,quintile 2,1,99.0219,98.74612,92.90137
MICS,BRB,Barbados,2012,wealth,quintile 3,1,100,100,93.59151
MICS,BRB,Barbados,2012,wealth,quintile 4,1,98.82101,98.15705,99.00609
MICS,BRB,Barbados,2012,wealth,quintile 5,1,98.79664,98.40887,93.78329
MICS,BLR,Belarus,2005,location,rural,0,99.53815,99.13538,73.50388
MICS,BLR,Belarus,2005,location,urban,0,100,99.49681,87.98189
MICS,BLR,Belarus,2005,poorest by sex,poorest female,0,100,96.21042,63.03045
MICS,BLR,Belarus,2005,poorest by sex,poorest male,0,100,100,62.41598
MICS,BLR,Belarus,2005,sex,female,0,100,99.22677,84.73778
MICS,BLR,Belarus,2005,sex,male,0,99.65864,99.56066,83.60631
MICS,BLR,Belarus,2005,total,total,0,99.82732,99.40186,84.18379
MICS,BLR,Belarus,2005,wealth,quintile 1,0,100,98.42177,62.72285
MICS,BLR,Belarus,2005,wealth,quintile 2,0,99.24219,98.86509,75.41431
MICS,BLR,Belarus,2005,wealth,quintile 3,0,100,98.8719,84.09261
MICS,BLR,Belarus,2005,wealth,quintile 4,0,100,100,89.08556
MICS,BLR,Belarus,2005,wealth,quintile 5,0,100,100,94.05093
MICS,BLR,Belarus,2012,location,rural,1,100,100,87.54372
MICS,BLR,Belarus,2012,location,urban,1,99.64933,99.51192,90.95811
MICS,BLR,Belarus,2012,poorest by sex,poorest female,1,100,99.05473,75.61726
MICS,BLR,Belarus,2012,poorest by sex,poorest male,1,100,100,77.9948
MICS,BLR,Belarus,2012,sex,female,1,99.48277,99.85546,92.67877
MICS,BLR,Belarus,2012,sex,male,1,100,99.48416,88.04064
MICS,BLR,Belarus,2012,total,total,1,99.75887,99.64152,90.19872
MICS,BLR,Belarus,2012,wealth,quintile 1,1,100,99.60586,77.19987
MICS,BLR,Belarus,2012,wealth,quintile 2,1,98.85698,100,88.336
MICS,BLR,Belarus,2012,wealth,quintile 3,1,100,100,91.79597
MICS,BLR,Belarus,2012,wealth,quintile 4,1,100,98.61891,94.22273
MICS,BLR,Belarus,2012,wealth,quintile 5,1,100,100,95.38329
MICS,BLZ,Belize,2006,location,rural,0,85.46146,22.65738,6.246726
MICS,BLZ,Belize,2006,location,urban,0,93.74846,29.37706,18.42308
MICS,BLZ,Belize,2006,poorest by sex,poorest female,0,85.4408,9.229692,0
MICS,BLZ,Belize,2006,poorest by sex,poorest male,0,81.66486,3.89422,0
MICS,BLZ,Belize,2006,sex,female,0,91.41611,33.68168,14.6885
MICS,BLZ,Belize,2006,sex,male,0,87.07817,18.585,11.83643
MICS,BLZ,Belize,2006,total,total,0,89.04237,26.20507,13.19117
MICS,BLZ,Belize,2006,wealth,quintile 1,0,83.34314,6.599473,0
MICS,BLZ,Belize,2006,wealth,quintile 2,0,86.06713,20.07629,4.007713
MICS,BLZ,Belize,2006,wealth,quintile 3,0,92.2765,25.51495,9.99064
MICS,BLZ,Belize,2006,wealth,quintile 4,0,89.91789,33.93064,12.38756
MICS,BLZ,Belize,2006,wealth,quintile 5,0,95.52385,43.68405,36.80984
MICS,BLZ,Belize,2011,location,rural,1,80.86632,33.46841,15.18633
MICS,BLZ,Belize,2011,location,urban,1,91.98969,56.52559,28.35703
MICS,BLZ,Belize,2011,poorest by sex,poorest female,1,69.89222,13.10879,5.300087
MICS,BLZ,Belize,2011,poorest by sex,poorest male,1,58.50691,16.64995,1.023432
MICS,BLZ,Belize,2011,sex,female,1,88.47179,49.15485,24.29936
MICS,BLZ,Belize,2011,sex,male,1,82.10783,37.19553,18.40641
MICS,BLZ,Belize,2011,total,total,1,85.38493,43.3367,21.4408
MICS,BLZ,Belize,2011,wealth,quintile 1,1,63.76829,14.98504,2.964645
MICS,BLZ,Belize,2011,wealth,quintile 2,1,81.306,27.81624,12.28136
MICS,BLZ,Belize,2011,wealth,quintile 3,1,88.60944,40.08717,15.82652
MICS,BLZ,Belize,2011,wealth,quintile 4,1,94.49007,52.00956,23.59897
MICS,BLZ,Belize,2011,wealth,quintile 5,1,98.41251,77.27104,50.99786
MICS,BLZ,Belize,2015,location,rural,0,71.70325,31.27575,9.204158
MICS,BLZ,Belize,2015,location,urban,0,75.7793,42.77637,18.98982
MICS,BLZ,Belize,2015,poorest by sex,poorest female,0,68.03374,15.50953,0
MICS,BLZ,Belize,2015,poorest by sex,poorest male,0,49.36716,11.6967,0.9626969
MICS,BLZ,Belize,2015,sex,female,0,77.72999,42.4239,15.1625
MICS,BLZ,Belize,2015,sex,male,0,68.71399,30.10004,11.89083
MICS,BLZ,Belize,2015,total,total,0,73.21072,36.44267,13.57913
MICS,BLZ,Belize,2015,wealth,quintile 1,0,59.23779,13.64649,0.5119203
MICS,BLZ,Belize,2015,wealth,quintile 2,0,68.82758,26.23524,7.395648
MICS,BLZ,Belize,2015,wealth,quintile 3,0,74.83352,33.15648,14.46213
MICS,BLZ,Belize,2015,wealth,quintile 4,0,80.98665,51.55632,18.12399
MICS,BLZ,Belize,2015,wealth,quintile 5,0,86.91493,65.74076,28.08536
DHS,BEN,Benin,2001,location,rural,1,21.2646,3.651733,1.491584
DHS,BEN,Benin,2001,location,urban,1,47.12196,19.53948,7.635386
DHS,BEN,Benin,2001,sex,female,1,26.36232,6.309827,2.025073
DHS,BEN,Benin,2001,sex,male,1,39.94363,17.32683,6.848012
DHS,BEN,Benin,2001,total,total,1,32.88638,11.0952,4.054251
DHS,BEN,Benin,2006,location,rural,1,38.99918,11.487,2.284765
DHS,BEN,Benin,2006,location,urban,1,62.72516,33.66241,16.49434
DHS,BEN,Benin,2006,poorest by sex,poorest female,1,13.12648,0,0
DHS,BEN,Benin,2006,poorest by sex,poorest male,1,25.05514,8.411651,0.4693016
DHS,BEN,Benin,2006,sex,female,1,41.98247,12.00752,5.657723
DHS,BEN,Benin,2006,sex,male,1,55.12615,32.275,14.42723
DHS,BEN,Benin,2006,total,total,1,49.21066,21.28594,9.173881
DHS,BEN,Benin,2006,wealth,quintile 1,1,19.72232,3.649632,0.1804163
DHS,BEN,Benin,2006,wealth,quintile 2,1,32.41127,9.492235,1.408985
DHS,BEN,Benin,2006,wealth,quintile 3,1,43.10637,10.13029,1.556199
DHS,BEN,Benin,2006,wealth,quintile 4,1,59.1132,20.48206,5.271962
DHS,BEN,Benin,2006,wealth,quintile 5,1,74.10689,48.05546,25.17208
DHS,BEN,Benin,2012,location,rural,1,52.39817,18.29624,5.575186
DHS,BEN,Benin,2012,location,urban,1,69.06201,41.61374,22.88105
DHS,BEN,Benin,2012,poorest by sex,poorest female,1,28.02238,2.563724,0
DHS,BEN,Benin,2012,poorest by sex,poorest male,1,35.83753,9.295141,1.319299
DHS,BEN,Benin,2012,sex,female,1,56.19088,20.91064,8.859401
DHS,BEN,Benin,2012,sex,male,1,61.89381,40.58343,22.5569
DHS,BEN,Benin,2012,total,total,1,59.41194,30.07267,14.69865
DHS,BEN,Benin,2012,wealth,quintile 1,1,32.94436,5.9307,0.5234355
DHS,BEN,Benin,2012,wealth,quintile 2,1,47.69865,13.24553,2.722254
DHS,BEN,Benin,2012,wealth,quintile 3,1,58.05881,21.12339,4.979228
DHS,BEN,Benin,2012,wealth,quintile 4,1,73.87517,33.87059,9.565007
DHS,BEN,Benin,2012,wealth,quintile 5,1,80.25189,58.23543,36.21287
MICS,BEN,Benin,2014,location,rural,1,45.914,17.58917,2.040995
MICS,BEN,Benin,2014,location,urban,1,65.90567,38.41089,17.39365
MICS,BEN,Benin,2014,poorest by sex,poorest female,1,22.02323,0.860598,0
MICS,BEN,Benin,2014,poorest by sex,poorest male,1,33.82632,14.19871,1.564471
MICS,BEN,Benin,2014,sex,female,1,49.73576,19.99346,6.265596
MICS,BEN,Benin,2014,sex,male,1,59.73275,37.57952,15.11591
MICS,BEN,Benin,2014,total,total,1,55.12401,28.41372,10.28643
MICS,BEN,Benin,2014,wealth,quintile 1,1,28.9402,7.560833,0.6416447
MICS,BEN,Benin,2014,wealth,quintile 2,1,44.17253,14.9028,0.13357
MICS,BEN,Benin,2014,wealth,quintile 3,1,54.31064,19.54389,3.899664
MICS,BEN,Benin,2014,wealth,quintile 4,1,66.17908,32.15604,6.784544
